Date,25yr,15yr
09/15/2014,3.266,3.000
09/12/2014,3.278,3.017
09/11/2014,3.182,2.920
09/10/2014,3.196,2.927
09/09/2014,3.159,2.893
09/08/2014,3.152,2.877
09/05/2014,3.165,2.877
09/04/2014,3.134,2.857
09/03/2014,3.087,2.810
09/02/2014,3.104,2.826
09/01/2014,3.014,2.736
08/29/2014,3.014,2.736
08/28/2014,3.002,2.722
08/27/2014,3.042,2.755
08/26/2014,3.085,2.794
08/25/2014,3.068,2.781
08/22/2014,3.088,2.801
08/21/2014,3.121,2.822
08/20/2014,3.148,2.847
08/19/2014,3.148,2.839
08/18/2014,3.125,2.816
08/15/2014,3.065,2.760
08/14/2014,3.125,2.820
08/13/2014,3.174,2.856
08/12/2014,3.201,2.889
08/11/2014,3.168,2.860
08/08/2014,3.160,2.855
08/07/2014,3.169,2.867
08/06/2014,3.208,2.911
08/05/2014,3.206,2.921
08/04/2014,3.221,2.937
08/01/2014,3.222,2.944
07/31/2014,3.238,2.980
07/30/2014,3.236,2.968
07/29/2014,3.150,2.878
07/28/2014,3.188,2.918
07/25/2014,3.169,2.893
07/24/2014,3.224,2.944
07/23/2014,3.181,2.899
07/22/2014,3.176,2.896
07/21/2014,3.187,2.904
07/18/2014,3.214,2.925
07/17/2014,3.210,2.921
07/16/2014,3.269,2.982
07/15/2014,3.286,2.998
07/14/2014,3.289,2.999
07/11/2014,3.262,2.966
07/10/2014,3.283,2.985
07/09/2014,3.279,2.989
07/08/2014,3.298,3.012
07/07/2014,3.356,3.072
07/04/2014,3.399,3.113
07/03/2014,3.399,3.113
07/02/2014,3.386,3.097
07/01/2014,3.317,3.024
06/30/2014,3.259,2.970
06/27/2014,3.283,2.983
06/26/2014,3.264,2.968
06/25/2014,3.299,3.009
06/24/2014,3.324,3.038
06/23/2014,3.363,3.076
06/20/2014,3.364,3.079
06/19/2014,3.375,3.085
06/18/2014,3.335,3.054
06/17/2014,3.361,3.088
06/16/2014,3.313,3.034
06/13/2014,3.325,3.043
06/12/2014,3.323,3.036
06/11/2014,3.380,3.096
06/10/2014,3.379,3.093
06/09/2014,3.361,3.071
06/06/2014,3.349,3.060
06/05/2014,3.345,3.058
06/04/2014,3.357,3.073
06/03/2014,3.346,3.060
06/02/2014,3.289,2.997
05/30/2014,3.228,2.923
05/29/2014,3.220,2.910
05/28/2014,3.202,2.896
05/27/2014,3.277,2.980
05/26/2014,3.308,3.004
05/23/2014,3.308,3.004
05/22/2014,3.339,3.033
05/21/2014,3.326,3.018
05/20/2014,3.285,2.980
05/19/2014,3.294,2.997
05/16/2014,3.254,2.960
05/15/2014,3.245,2.950
05/14/2014,3.281,2.986
05/13/2014,3.356,3.064
05/12/2014,3.395,3.098
05/09/2014,3.370,3.067
05/08/2014,3.336,3.037
05/07/2014,3.327,3.049
05/06/2014,3.304,3.039
05/05/2014,3.332,3.064
05/02/2014,3.289,3.030
05/01/2014,3.329,3.063
04/30/2014,3.380,3.114
04/29/2014,3.413,3.149
04/28/2014,3.383,3.123
04/25/2014,3.359,3.105
04/24/2014,3.384,3.131
04/23/2014,3.389,3.135
04/22/2014,3.421,3.169
04/21/2014,3.443,3.185
04/18/2014,3.431,3.174
04/17/2014,3.429,3.171
04/16/2014,3.373,3.106
04/15/2014,3.379,3.110
04/14/2014,3.401,3.131
04/11/2014,3.391,3.113
04/10/2014,3.417,3.132
04/09/2014,3.480,3.199
04/08/2014,3.459,3.182
04/07/2014,3.475,3.195
04/04/2014,3.504,3.225
04/03/2014,3.542,3.273
04/02/2014,3.566,3.290
04/01/2014,3.523,3.245
03/31/2014,3.482,3.202
03/28/2014,3.463,3.178
03/27/2014,3.429,3.129
03/26/2014,3.468,3.172
03/25/2014,3.495,3.204
03/24/2014,3.488,3.201
03/21/2014,3.521,3.230
03/20/2014,3.571,3.273
03/19/2014,3.582,3.280
03/18/2014,3.536,3.214
03/17/2014,3.539,3.223
03/14/2014,3.500,3.177
03/13/2014,3.514,3.187
03/12/2014,3.578,3.264
03/11/2014,3.617,3.308
03/10/2014,3.639,3.329
03/07/2014,3.633,3.330
03/06/2014,3.598,3.288
03/05/2014,3.556,3.243
03/04/2014,3.549,3.241
03/03/2014,3.471,3.158
02/28/2014,3.504,3.194
02/27/2014,3.505,3.188
02/26/2014,3.543,3.222
02/25/2014,3.569,3.252
02/24/2014,3.619,3.307
02/21/2014,3.603,3.287
02/20/2014,3.631,3.313
02/19/2014,3.613,3.298
02/18/2014,3.587,3.272
02/17/2014,3.604,3.296
02/14/2014,3.604,3.296
02/13/2014,3.598,3.288
02/12/2014,3.638,3.338
02/11/2014,3.597,3.294
02/10/2014,3.580,3.267
02/07/2014,3.581,3.264
02/06/2014,3.590,3.280
02/05/2014,3.567,3.252
02/04/2014,3.511,3.201
02/03/2014,3.460,3.153
01/31/2014,3.536,3.232
01/30/2014,3.550,3.254
01/29/2014,3.536,3.238
01/28/2014,3.584,3.295
01/27/2014,3.589,3.311
01/24/2014,3.561,3.275
01/23/2014,3.592,3.311
01/22/2014,3.670,3.391
01/21/2014,3.647,3.367
01/20/2014,3.661,3.371
01/17/2014,3.661,3.371
01/16/2014,3.678,3.384
01/15/2014,3.709,3.424
01/14/2014,3.701,3.414
01/13/2014,3.670,3.381
01/10/2014,3.698,3.406
01/09/2014,3.780,3.498
01/08/2014,3.810,3.538
01/07/2014,3.787,3.498
01/06/2014,3.802,3.518
01/03/2014,3.836,3.550
01/02/2014,3.825,3.542
01/01/2014,3.845,3.566
12/31/2013,3.845,3.566
12/30/2013,3.811,3.529
12/27/2013,3.846,3.564
12/26/2013,3.826,3.546
12/25/2013,3.804,3.533
12/24/2013,3.804,3.533
12/23/2013,3.746,3.477
12/20/2013,3.725,3.429
12/19/2013,3.799,3.493
12/18/2013,3.813,3.492
12/17/2013,3.768,3.450
12/16/2013,3.790,3.481
12/13/2013,3.771,3.461
12/12/2013,3.796,3.486
12/11/2013,3.778,3.467
12/10/2013,3.729,3.417
12/09/2013,3.786,3.478
12/06/2013,3.808,3.500
12/05/2013,3.808,3.497
12/04/2013,3.799,3.485
12/03/2013,3.731,3.416
12/02/2013,3.752,3.440
11/29/2013,3.703,3.376
11/28/2013,3.704,3.370
11/27/2013,3.704,3.370
11/26/2013,3.684,3.338
11/25/2013,3.731,3.386
11/22/2013,3.733,3.389
11/21/2013,3.778,3.431
11/20/2013,3.798,3.443
11/19/2013,3.701,3.346
11/18/2013,3.665,3.309
11/15/2013,3.698,3.337
11/14/2013,3.699,3.335
11/13/2013,3.729,3.374
11/12/2013,3.755,3.403
11/11/2013,3.740,3.381
11/08/2013,3.740,3.381
11/07/2013,3.630,3.253
11/06/2013,3.671,3.290
11/05/2013,3.659,3.299
11/04/2013,3.592,3.230
11/01/2013,3.597,3.244
10/31/2013,3.537,3.174
10/30/2013,3.540,3.164
10/29/2013,3.530,3.145
10/28/2013,3.516,3.147
10/25/2013,3.503,3.134
10/24/2013,3.523,3.149
10/23/2013,3.494,3.123
10/22/2013,3.520,3.153
10/21/2013,3.590,3.235
10/18/2013,3.564,3.206
10/17/2013,3.566,3.204
10/16/2013,3.633,3.280
10/15/2013,3.684,3.332
10/14/2013,3.641,3.288
10/11/2013,3.641,3.288
10/10/2013,3.650,3.294
10/09/2013,3.632,3.265
10/08/2013,3.606,3.244
10/07/2013,3.613,3.247
10/04/2013,3.639,3.267
10/03/2013,3.618,3.237
10/02/2013,3.621,3.245
10/01/2013,3.633,3.262
09/30/2013,3.604,3.240
09/27/2013,3.593,3.230
09/26/2013,3.604,3.249
09/25/2013,3.564,3.217
09/24/2013,3.586,3.252
09/23/2013,3.657,3.322
09/20/2013,3.671,3.336
09/19/2013,3.716,3.365
09/18/2013,3.666,3.310
09/17/2013,3.756,3.424
09/16/2013,3.790,3.454
09/13/2013,3.766,3.452
09/12/2013,3.765,3.460
09/11/2013,3.780,3.479
09/10/2013,3.808,3.514
09/09/2013,3.756,3.460
09/06/2013,3.790,3.495
09/05/2013,3.798,3.519
09/04/2013,3.716,3.443
09/03/2013,3.698,3.416
09/02/2013,3.594,3.308
08/30/2013,3.594,3.308
08/29/2013,3.622,3.317
08/28/2013,3.671,3.361
08/27/2013,3.618,3.310
08/26/2013,3.702,3.393
08/23/2013,3.716,3.401
08/22/2013,3.801,3.483
08/21/2013,3.798,3.471
08/20/2013,3.765,3.436
08/19/2013,3.817,3.500
08/16/2013,3.773,3.454
08/15/2013,3.712,3.384
08/14/2013,3.669,3.345
08/13/2013,3.672,3.349
08/12/2013,3.580,3.250
08/09/2013,3.552,3.226
08/08/2013,3.556,3.234
08/07/2013,3.570,3.257
08/06/2013,3.620,3.308
08/05/2013,3.620,3.305
08/02/2013,3.579,3.267
08/01/2013,3.660,3.370
07/31/2013,3.533,3.236
07/30/2013,3.559,3.248
07/29/2013,3.548,3.233
07/26/2013,3.509,3.194
07/25/2013,3.555,3.238
07/24/2013,3.541,3.231
07/23/2013,3.483,3.168
07/22/2013,3.448,3.140
07/19/2013,3.460,3.136
07/18/2013,3.528,3.195
07/17/2013,3.466,3.146
07/16/2013,3.481,3.170
07/15/2013,3.504,3.192
07/12/2013,3.539,3.233
07/11/2013,3.520,3.212
07/10/2013,3.585,3.300
07/09/2013,3.548,3.257
07/08/2013,3.534,3.252
07/05/2013,3.574,3.306
07/04/2013,3.398,3.122
07/03/2013,3.397,3.121
07/02/2013,3.366,3.090
07/01/2013,3.385,3.101
06/28/2013,3.395,3.097
06/27/2013,3.434,3.106
06/26/2013,3.469,3.149
06/25/2013,3.512,3.200
06/24/2013,3.455,3.155
06/21/2013,3.463,3.142
06/20/2013,3.413,3.075
06/19/2013,3.309,2.959
06/18/2013,3.234,2.862
06/17/2013,3.243,2.865
06/14/2013,3.190,2.810
06/13/2013,3.225,2.847
06/12/2013,3.279,2.906
06/11/2013,3.234,2.870
06/10/2013,3.267,2.893
06/07/2013,3.220,2.842
06/06/2013,3.131,2.754
06/05/2013,3.155,2.783
06/04/2013,3.196,2.819
06/03/2013,3.162,2.780
05/31/2013,3.191,2.818
05/30/2013,3.175,2.789
05/29/2013,3.159,2.778
05/28/2013,3.173,2.801
05/27/2013,3.062,2.672
05/24/2013,3.062,2.672
05/23/2013,3.083,2.692
05/22/2013,3.093,2.702
05/21/2013,3.035,2.626
05/20/2013,3.060,2.648
05/17/2013,3.050,2.632
05/16/2013,2.973,2.541
05/15/2013,3.041,2.616
05/14/2013,3.048,2.623
05/13/2013,3.013,2.586
05/10/2013,2.989,2.563
05/09/2013,2.905,2.472
05/08/2013,2.883,2.457
05/07/2013,2.909,2.486
05/06/2013,2.892,2.470
05/03/2013,2.865,2.434
05/02/2013,2.737,2.304
